City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,guerrero negro,27.9769,-114.0611,23.25,62,7,5.4,MX,2023-07-22 11:34:42
276,angaur state,6.906,134.13,27.71,79,79,4.57,PW,2023-07-22 11:34:42
277,minas de marcona,-15.2119,-75.1103,17.08,64,33,6.32,PE,2023-07-22 11:34:42
278,datca,36.7378,27.6842,29.52,56,0,7.76,TR,2023-07-22 11:34:42
279,polyarnyy,69.1989,33.4478,9.86,80,89,7.31,RU,2023-07-22 11:31:20
280,red hill,33.9996,-79.2581,33.82,67,63,2.48,US,2023-07-22 11:31:21
281,kavaratti,10.5669,72.642,28.15,82,78,8.76,IN,2023-07-22 11:34:43
282,palapye,-22.546,27.1251,16.28,59,0,3.35,BW,2023-07-22 11:34:43
283,gubkinskiy,64.434,76.5026,21.98,62,98,2.82,RU,2023-07-22 11:34:43
284,huinan,42.6225,126.2614,21.4,97,100,3.01,CN,2023-07-22 11:34:43
285,lander,42.833,-108.7307,26.1,34,0,0.0,US,2023-07-22 11:34:43
286,wawa,9.9022,4.4192,27.79,78,95,1.65,NG,2023-07-22 11:34:44
287,susuman,62.7833,148.1667,14.39,95,100,0.96,RU,2023-07-22 11:34:44
288,ancud,-41.8697,-73.8203,6.09,81,100,1.08,CL,2023-07-22 11:32:57
289,ihosy,-22.4,46.1167,15.81,93,89,3.47,MG,2023-07-22 11:31:23
290,aykhal,66.0,111.5,18.7,54,65,4.59,RU,2023-07-22 11:34:44
291,iraquara,-12.2486,-41.6194,18.84,80,99,4.47,BR,2023-07-22 11:34:44
292,saint augustine beach,29.8505,-81.2654,35.57,62,40,4.12,US,2023-07-22 11:31:24
293,padang,-0.9492,100.3543,25.03,89,100,1.29,ID,2023-07-22 11:34:32
294,prince rupert,54.3161,-130.3201,14.83,100,100,4.63,CA,2023-07-22 11:34:45
295,waiuku,-37.25,174.75,10.7,85,72,3.56,NZ,2023-07-22 11:31:25
296,yamada,39.4667,141.95,20.5,97,58,3.21,JP,2023-07-22 11:31:25
297,saint-pierre,-21.3393,55.4781,21.82,73,0,6.69,RE,2023-07-22 11:34:46
298,sechura,-5.5569,-80.8222,26.31,58,7,3.27,PE,2023-07-22 11:31:26
